,Unnamed: 0,Nama,Lembaga,Unit Kerja,Jabatan,Tanggal Lapor,Jenis Lapor,Kekayaan
372,372,ANDAYANI KUMALADEWI,BANK INDONESIA (BI),DEPARTEMEN PENGELOLAAN MONETER,ASISTEN DEALER,31 Desember 2018,Periodik,774466681
373,373,RIEFQI HANIEF,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA PERTAMA,31 Desember 2018,Periodik,1645492815
374,374,RUDI ANANTA WIJAYA,MAHKAMAH AGUNG,PENGADILAN TINGGI PEKANBARU,WAKIL KETUA,31 Desember 2018,Periodik,1425894335
375,375,EVIE FRIDINA SUSAN,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PERWAKILAN BPKP D.I. YOGYAKARTA,AUDITOR MUDA,31 Desember 2018,Periodik,187809524
376,376,TITO ASUNG KUMORO WICAKSONO,PEMERINTAH DAERAH D.I. YOGYAKARTA,"DINAS PEKERJAAN UMUM, PERUMAHAN DAN ENERGI SUMBER DAYA MINERAL",KEPALA SEKSI PERENCANAAN SUMBERDAYA AIR,31 Desember 2018,Periodik,5743499999
377,377,MONIKA NUR LASTIYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,KEPALA BADAN,31 Desember 2018,Periodik,2224419358
378,378,CAHYA WIDI,PT BANK BPD DIY,WAKIL PIMPINAN,DIREKTUR UMUM,31 Desember 2018,Periodik,6689116549
379,379,DHINI ASTARINI,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL CIPTA KARYA,BENDAHARA PENGELUARAN,31 Desember 2018,Periodik,184600000
380,380,LAURENTIUS ERNAWAN EDY HARTANTO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN TATA USAHA,31 Desember 2018,Periodik,284116490
381,381,MUHAMMAD DAHLAN SALEH,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,"KEPALA BIDANG PENDAFTARAN, EKSTENSIFIKASI DAN PENILAIAN - KANTOR WILAYAH DJP SUMATERA SELATAN DAN KEPULAUAN BANGKA BELITUNG",31 Desember 2018,Periodik,3451761859
382,382,CHRISTINA CANDRASARI INDRIATMO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ACCOUNT REPRESENTATIVE SEKSI PENGAWASAN DAN KONSULTASI IV,31 Desember 2018,Periodik,-4728649
383,383,IMAM SUTOPO,KEJAKSAAN REPUBLIK INDONESIA,JAKSA AGUNG MUDA BIDANG PENGAWASAN,PEMERIKSA TINDAK PIDANA UMUM,31 Desember 2018,Periodik,1206000000
384,384,HENI KARTIKAWATI,KEMENTERIAN KEUANGAN,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,KEPALA PUSAT PENDIDIKAN DAN PELATIHAN KEUANGAN UMUM,31 Desember 2018,Periodik,3195761859
385,385,NANANG KRISTANTO,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,SEKRETARIAT JENDERAL DEWAN ENERGI NASIONAL,KEPALA SUBBAGIAN PEMANTAUAN PELAKSANAAN RENCANA UMUM ENERGI NASIONAL,31 Desember 2018,Periodik,836594905
386,386,TEJO PURNOMO,PEMERINTAH DAERAH D.I. YOGYAKARTA,BIRO UMUM DAN PROTOKOL,KEPALA BAGIAN,31 Desember 2018,Periodik,961249671
387,387,MENIK NILAWATI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEHUTANAN DAN PERKEBUNAN,KEPALA BIDANG,31 Desember 2018,Periodik,2331710478
388,388,IDE WINARSWASEPTA ENDARMOYO,PEMERINTAH KOTA YOGYAKARTA,INSPEKTORAT DAERAH,AUDITOR PERTAMA,31 Desember 2018,Periodik,5047238280
389,389,ADI PURWANTO AR,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS BANGKA BELITUNG,KEPALA SUBBAGIAN RUMAH TANGGA DAN BARANG MILIK NEGARA,31 Desember 2018,Periodik,277074000
390,390,SRI MURYUWANTINI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,KEPALA DINAS,31 Desember 2018,Periodik,426702699
391,391,ASTI WIJAYANTI,PEMERINTAH KABUPATEN GUNUNG KIDUL,DINAS PARIWISATA,KEPALA DINAS PARIWISATA,31 Desember 2018,Periodik,303449417
392,392,RIRIN HERINI EVILISTYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERENCANAAN PEMBANGUNAN DAERAH,KEPALA SEKSI PELAYANAN INFORMASI,31 Desember 2018,Periodik,202000000
393,393,R. M. PRAMUTOMO,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,INSTITUT SENI INDONESIA SURAKARTA,WAKIL REKTOR III,31 Desember 2018,Periodik,1666314000
394,394,IKA HARTANTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEHUTANAN DAN PERKEBUNAN,KEPALA BIDANG,31 Desember 2018,Periodik,291789215
395,395,MEITY IRIANI SRI MARBYAN TARTININGTYAS,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PERBENDAHARAAN,PEJABAT PEMBUAT KOMITMEN (PPK) PADA KPPN LUBUK SIKAPING,31 Desember 2018,Periodik,367000000
396,396,ILHAM WICAKSONO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK PELAKSANA - KANTOR PELAYANAN PAJAK PRATAMA KARAWANG SELATAN,31 Desember 2018,Periodik,479728605
397,397,MINATI GAYUH LUHURI,PEMERINTAH PROVINSI DKI JAKARTA,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,PELAKSANA,31 Desember 2018,Periodik,1235705552
398,398,NOVI RIADHI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,FUNGSIONAL PEMERIKSA PAJAK,31 Desember 2018,Periodik,2872521321
399,399,SUKCI HIRAWATI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA IV,PEMERIKSA MADYA,31 Desember 2018,Periodik,594314819
400,400,ESTI SASANTI,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGATURAN DAN PENGAWASAN TERINTEGRASI,DEPUTI DIREKTUR - DIREKTORAT PENGAWASAN TERINTEGRASI 2,31 Desember 2018,Periodik,2375939771
401,401,HASTIONO ADI PRANOTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA MADYA,31 Desember 2018,Periodik,822463426
402,402,KUSWARSANTYO,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS NEGERI YOGYAKARTA,KETUA JURUSAN PENDIDIKAN SENI TARI,10 Desember 2018,"Khusus, Akhir Menjabat",612000000
403,403,ALISE KURNIARINI FADLILA,BANK INDONESIA (BI),DEPARTEMEN PENGADAAN STRATEGIS,ANALIS,31 Desember 2018,Periodik,-45624142
404,404,LAKSANA JATI JAYA,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEHUTANAN DAN PERKEBUNAN,KEPALA SEKSI PENGEMBANGAN PERBENIHAN,31 Desember 2018,Periodik,439963922
405,405,AMALA MORENTI,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA II,PEMERIKSA MADYA,31 Desember 2018,Periodik,690025836
406,406,ISTARYONO,PEMERINTAH KABUPATEN KULON PROGO,INSPEKTORAT DAERAH,AUDITOR,31 Desember 2018,Periodik,45152000
407,407,OKTIANA DWI ASTUTI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PENYIDIK PEGAWAI NEGERI SIPIL,31 Desember 2018,Periodik,346470678
408,408,IDA KUSWATI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,BENDAHARA PENGELUARAN,31 Desember 2018,Periodik,178750000
409,409,PADMONO ANGGORO PRASETYO,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEBUDAYAAN,KEPALA SEKSI SENI RUPA,31 Desember 2018,Periodik,532427170
410,410,TOTOK SAMIYANTO,PEMERINTAH KABUPATEN BANTUL,KANTOR KECAMATAN SEWON,"KEPALA SUB BAGIAN PROGRAM, KEUANGAN DAN ASET",31 Desember 2018,"Khusus, Awal Menjabat",420115015
411,411,HAMENGKU BUWONO X,PEMERINTAH DAERAH D.I. YOGYAKARTA,PIMPINAN TERTINGGI,GUBERNUR,31 Desember 2018,Periodik,21944500174
412,412,DYAH TRIWULANDARI,PEMERINTAH KABUPATEN BANTUL,DINAS LINGKUNGAN HIDUP,KEPALA SEKSI PERENCANAAN DAN KAJIAN DAMPAK LINGKUNGAN HIDUP,31 Desember 2018,Periodik,317500000
413,413,MARIA EVI RATNAWATI,BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL (BKKBN),DEPUTI BIDANG KELUARGA SEJAHTERA DAN PEMBERDAYAAN KELUARGA,DIREKTUR BINA KELUARGA BALITA DAN ANAK,31 Desember 2018,Periodik,1401415220
414,414,ROMADHANI BAYU KUSUMA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,BENDAHARA KANTOR PENGAWASAN DAN PELAYANAN BEA DAN CUKAI TIPE MADYA PABEAN C PURWOKERTO,31 Desember 2018,"Khusus, Awal Menjabat",139244363
415,415,SRI PRASWIJANTI,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,BENDAHARA PENGELUARAN,31 Desember 2018,Periodik,384869221
416,416,NIZAR ABDILLAH MUFTI,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PENGELOLAAN PEMBIAYAAN DAN RISIKO,PELAKSANA SUBDIREKTORAT PERENCANAAN DAN PENGELOLAAN DATA,31 Desember 2018,Periodik,72076640
417,417,BAGAS RAEDIANTO,OTORITAS JASA KEUANGAN (OJK),DEPUTI KOMISIONER PENGAWAS PERBANKAN III,STAF - DEPARTEMEN PENGAWASAN BANK SYARIAH,31 Desember 2018,Periodik,157211952
418,418,RIZMAH NURCHASANAH,BANK INDONESIA (BI),DEPARTEMEN SUMBER DAYA MANUSIA,ANALIS,31 Desember 2018,Periodik,7600208009
419,419,RETNO DYAH PARWITASARI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA BIDANG FASILITAS MEDIK DAN KEPERAWATAN,31 Desember 2018,Periodik,1662042260
420,420,ASDO ARTRIVIYANTO,PT KERETA API INDONESIA (PERSERO),PT KERETA API INDONESIA (PERSERO),TRAINER UTAMA TRAINING AND EDUCATION IR. H. DJUANDA,31 Desember 2018,Periodik,210844826
421,421,TANTRI AMBARSARI,PEMERINTAH PROVINSI JAWA TENGAH,DINAS PENDIDIKAN DAN KEBUDAYAAN,KEPALA SMA NEGERI 1 BRINGIN,27 Juni 2018,"Khusus, Awal Menjabat",1725571547
422,422,SINGGIH NURCAHYA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,DIREKTORAT JENDERAL SUMBER DAYA AIR,KEPALA SATUAN KERJA,31 Desember 2018,Periodik,952086874
423,423,HARI KUSUMA SETIA NEGARA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KEPALA SEKSI PENYIDIKAN II KANTOR WILAYAH DJBC KHUSUS KEPULAUAN RIAU,31 Desember 2018,Periodik,1496998595
424,424,M. NUR RACHMAT,PT ASDP INDONESIA FERRY (PERSERO),DIREKTORAT KOMERSIAL,MANAGER PENYEBERANGAN KOMERSIAL,31 Desember 2018,Periodik,-75000000
425,425,EKO HARIYATNO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,KEPALA SEKSI PENGAWASAN DAN KONSULTASI - KANTOR PELAYANAN PAJAK PRATAMA BATANG,31 Desember 2018,Periodik,960629666
426,426,CHRESTINA ERNI WIDYASTUTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,ASISTEN KEISTIMEWAAN,KEPALA BAGIAN,31 Desember 2018,Periodik,193841676
427,427,EDUWARD,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI JAWA TIMUR,PEMERIKSA MUDA,31 Desember 2018,Periodik,2662900875
428,428,YOPIE WIRAWAN ADIBRATA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,FUNGSIONAL PEMERIKSA PAJAK,31 Desember 2018,Periodik,2133129000
429,429,SUPRIHATIN,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS SOSIAL,KEPALA SEKSI PERLINDUNGAN DAN REHABILITASI SOSIAL,31 Desember 2018,Periodik,9220000
430,430,ALDISE DYAN RINI SYARIFA,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PERWAKILAN BPKP PROVINSI NUSA TENGGARA BARAT,AUDITOR PERTAMA,31 Desember 2018,Periodik,42456502
431,431,SURYAWANTO,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAM D.I. YOGYAKARTA,BENDAHARA DAN/ATAU PEJABAT PENGELOLA KEUANGAN,31 Desember 2018,Periodik,-159584102
432,432,NOVIERA SARASATI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PEJABAT PENGUJI SURAT PERINTAH MEMBAYAR,31 Desember 2018,Periodik,359737239
433,433,MUHAMAD IQBAL FELANI,PT PERUSAHAAN LISTRIK NEGARA (PERSERO),PUSLITBANG,MSB SDM,31 Desember 2018,"Khusus, Awal Menjabat",1670413907
434,434,AGUS PURWANTO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,DIREKTORAT JENDERAL PENDIDIKAN DASAR DAN MENENGAH,PANITIA PENGADAAN BARANG DAN JASA,31 Desember 2018,Periodik,634500000
435,435,NAWAN DJUHATMOKO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SEKSI SARANA MEDIK,31 Desember 2018,Periodik,938440857
436,436,RAHMAT SETYAJI,BADAN PEMERIKSA KEUANGAN (BPK-RI),BADAN PEMERIKSA KEUANGAN (BPK-RI) PERWAKILAN PROVINSI SULAWESI SELATAN,PEMERIKSA PERTAMA,31 Desember 2018,Periodik,98602569
437,437,NUGRAHANI,MAHKAMAH AGUNG,PENGADILAN TINGGI YOGYAKARTA,PANITERA MUDA PERDATA,31 Desember 2018,"Khusus, Akhir Menjabat",2309287419
438,438,R. KRISMA EKA PUTRA,KPU (CALON ANGGOTA DPRD),PARTAI GERAKAN INDONESIA RAYA (GERINDRA),CALON ANGGOTA DPRD,16 Mei 2019,"Khusus, Calon PN",137250000
439,439,KRISNADI SETYAWAN,KPU (CALON ANGGOTA DPRD),PARTAI GERAKAN INDONESIA RAYA (GERINDRA),CALON ANGGOTA DPRD,17 Mei 2019,"Khusus, Calon PN",18400000
440,440,AHMAD MUFARIS,KPU (CALON ANGGOTA DPRD),PARTAI DEMOKRAT,CALON ANGGOTA DPRD,20 Mei 2019,"Khusus, Calon PN",-287901486
441,441,GUSTI KANJENG RATU HEMAS,DEWAN PERWAKILAN DAERAH (DPD),PERWAKILAN PROVINSI D.I. YOGYAKARTA,ANGGOTA DPD RI - PERIODE 2014-2019,31 Desember 2018,Periodik,17077206102
442,442,DANANG WAHYU BROTO,KPU (CALON ANGGOTA DPRD),PARTAI GERAKAN INDONESIA RAYA (GERINDRA),CALON ANGGOTA DPRD,31 Desember 2018,"Khusus, Calon PN",5505500000
443,443,SUHARYANTO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2018,"Khusus, Calon PN",51750000
444,444,RIFKI LISTIANTO,KPU (CALON ANGGOTA DPRD),PARTAI AMANAT NASIONAL (PAN),CALON ANGGOTA DPRD,31 Desember 2018,"Khusus, Calon PN",195000000
445,445,IRVAN MAWARDI,MAHKAMAH AGUNG,PENGADILAN TINGGI TATA USAHA NEGARA MEDAN,HAKIM,31 Desember 2018,Periodik,533000000
446,446,SIGIT WICAKSONO,KPU (CALON ANGGOTA DPRD),PARTAI NASDEM (NASIONAL DEMOKRAT),CALON ANGGOTA DPRD,31 Desember 2018,"Khusus, Calon PN",826240802
447,447,YUSTINUS KELIEK MULYONO,KPU (CALON ANGGOTA DPRD),PARTAI DEMOKRASI INDONESIA PERJUANGAN (PDI PERJUANGAN),CALON ANGGOTA DPRD,31 Desember 2018,"Khusus, Calon PN",568219749
448,448,MARIA DANASTRI,KOMISI PEMBERANTASAN KORUPSI (KPK),DEPUTI BIDANG PENCEGAHAN DAN MONITORING,SPESIALIS MUDA 1,31 Desember 2018,Periodik,131519685
449,449,HANUNG INDARTO,MAHKAMAH AGUNG,PENGADILAN TINGGI YOGYAKARTA,PANITERA PENGGANTI,31 Desember 2018,Periodik,834503076
450,450,RIDIAN JUNATA,PT PERUSAHAAN GAS NEGARA TBK,PT PERUSAHAAN GAS NEGARA TBK,SR. ANALYST,31 Desember 2018,Periodik,1623938934
451,451,MONIKA NUR LASTIYANI,PEMERINTAH DAERAH D.I. YOGYAKARTA,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,KEPALA BADAN,31 Desember 2017,Periodik,1367132214
452,452,DANANG WAHYU BROTO,DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA,FRAKSI PARTAI GERINDRA,ANGGOTA DPRD,1 Agustus 2018,"Khusus, Calon PN",4760144850
453,453,M. NUR RACHMAT,PT ASDP INDONESIA FERRY (PERSERO),DIREKTORAT KOMERSIAL,MANAGER PENYEBERANGAN KOMERSIAL,1 Agustus 2018,"Khusus, Awal Menjabat",-100000000
454,454,NOVIERA SARASATI,BADAN PENGAWAS OBAT DAN MAKANAN (BPOM),BALAI BESAR POM YOGYAKARTA,PEJABAT PENGUJI SURAT PERINTAH MEMBAYAR,31 Desember 2017,Periodik,341067785
455,455,RADEN HENDRI GUSAPTONO,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,KEPALA PUSAT KULIAH KERJA NYATA DAN TEKNOLOGI TEPAT GUNA,31 Desember 2017,Periodik,1351000000
456,456,SRI PRASWIJANTI,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,BENDAHARA PENGELUARAN,31 Desember 2017,Periodik,305613476
457,457,AGUSTINA RATRI PROBOSINI,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,INSTITUT SENI INDONESIA YOGYAKARTA,SEKRETARIS JURUSAN SENDRATASIK,25 September 2018,"Khusus, Awal Menjabat",470398285
458,458,HANDIKO WIDIYANTO,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KAPOLSEK MOYUDAN,31 Desember 2017,Periodik,423700000
459,459,NUR MUSLIMAH,KEPOLISIAN NEGARA REPUBLIK INDONESIA (POLRI),KEPOLISIAN DAERAH D.I. YOGYAKARTA,KEPALA SEKSI KEUANGAN POLRES (KASIKEU),31 Desember 2017,Periodik,501143728
460,460,SUSAN ANANTI,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN EVALUASI DAN PELAPORAN,31 Desember 2017,Periodik,1830114651
461,461,LAURENTIUS ERNAWAN EDY HARTANTO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SUBBAGIAN TATA USAHA,31 Desember 2017,Periodik,262207877
462,462,NAWAN DJUHATMOKO,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,KEPALA SEKSI SARANA MEDIK,31 Desember 2017,Periodik,885171795
463,463,RYANTO TRI NOEGROHO,PEMERINTAH KOTA YOGYAKARTA,KECAMATAN TEGALREJO,CAMAT,8 Oktober 2018,"Khusus, Awal Menjabat",60500000
464,464,EDY HERI SUASANA,PEMERINTAH KOTA YOGYAKARTA,DINAS PENDIDIKAN,KEPALA DINAS,31 Desember 2017,Periodik,981376215
465,465,BUDI SANTOSA,PEMERINTAH KOTA YOGYAKARTA,KECAMATAN GEDONGTENGEN,BENDAHARA PENERIMAAN,29 Maret 2018,"Khusus, Awal Menjabat",-171000000
466,466,MEDDY YOGASTORO,KEMENTERIAN PERHUBUNGAN,DIREKTORAT JENDERAL PERHUBUNGAN UDARA,FLIGHT OPERATION INSPECTOR (FOI) LEVEL IV,13 Desember 2017,"Khusus, Calon PN",773000000
467,467,RIFKI LISTIANTO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI AMANAT NASIONAL,KETUA FRAKSI,31 Desember 2017,Periodik,41500000
468,468,SYAFIRA AMALINA AL MURSYID,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ACCOUNT REPRESENTATIVE,31 Desember 2017,Periodik,339501550
469,469,RUDI ANANTA WIJAYA,MAHKAMAH AGUNG,PENGADILAN TINGGI PEKANBARU,WAKIL KETUA,31 Desember 2017,Periodik,1325342247
470,470,SRI MURYUWANTINI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,KEPALA DINAS,31 Desember 2017,Periodik,381463058
471,471,ANGGORO SURYO SIGIT KWARTIANTO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,ACCOUNT REPRESENTATIVE KANTOR PELAYANAN PAJAK PRATAMA SLEMAN,31 Desember 2017,Periodik,127000000
472,472,HARI KUSUMA SETIA NEGARA,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,KEPALA SEKSI PENYIDIKAN II,31 Desember 2017,Periodik,1103125197
473,473,HASTIONO ADI PRANOTO,BADAN PEMERIKSA KEUANGAN (BPK-RI),AUDITORAT UTAMA KEUANGAN NEGARA VII,PEMERIKSA MUDA,31 Desember 2017,Periodik,572882722
474,474,YUSTINUS KELIEK MULYONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2017,Periodik,432559749
475,475,SIGIT WICAKSONO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2017,Periodik,782083452
476,476,ELLA GUNADIA RATNA DEWI,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI D.I. YOGYAKARTA,JAKSA PADA KEJAKSAAN NEGERI YOGYAKARTA,31 Desember 2017,Periodik,139345000
477,477,NANANG KRISTANTO,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,SEKRETARIAT JENDERAL DEWAN ENERGI NASIONAL,KEPALA SUBBAGIAN PEMANTAUAN PELAKSANAAN RENCANA UMUM ENERGI NASIONAL,30 Desember 2017,"Khusus, Awal Menjabat",817903408
478,478,LAKSANA JATI JAYA,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS KEHUTANAN DAN PERKEBUNAN,KEPALA SEKSI PENGEMBANGAN PERBENIHAN,31 Desember 2017,"Khusus, Calon PN",376205242
479,479,TOTOK SAMIYANTO,PEMERINTAH KABUPATEN BANTUL,KANTOR KECAMATAN SEWON,"KEPALA SUB BAGIAN PROGRAM, KEUANGAN DAN ASET",31 Desember 2017,Periodik,408545015
480,480,ASDO ARTRIVIYANTO,PT KERETA API INDONESIA (PERSERO),PT KERETA API INDONESIA (PERSERO),DEPUTY EXECUTIVE VICE PRESIDENT DIVISI REGIONAL IV TANJUNGKARANG,31 Desember 2017,Periodik,-24355174
481,481,ANDAYANI KUMALADEWI,BANK INDONESIA (BI),DEPARTEMEN PENGELOLAAN MONETER,DEALER,31 Desember 2017,Periodik,1141000000
482,482,PURWASTYA PRATMAJAYA A L,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,INSTITUT SENI INDONESIA SURAKARTA,KEPALA BAGIAN TATA USAHA,28 Maret 2018,"Khusus, Awal Menjabat",-27550000
483,483,SUHARYANTO,DEWAN PERWAKILAN RAKYAT DAERAH KOTA YOGYAKARTA,FRAKSI PARTAI DEMOKRASI INDONESIA PERJUANGAN,ANGGOTA DPRD,31 Desember 2017,Periodik,-167279274
484,484,MARIA EVI RATNAWATI,BADAN KEPENDUDUKAN DAN KELUARGA BERENCANA NASIONAL (BKKBN),DEPUTI BIDANG KELUARGA SEJAHTERA DAN PEMBERDAYAAN KELUARGA,DIREKTUR BINA KELUARGA BALITA DAN ANAK,31 Desember 2017,Periodik,1169228643
485,485,HENI KARTIKAWATI,KEMENTERIAN KEUANGAN,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,KEPALA BALAI PENDIDIKAN DAN PELATIHAN KEPEMIMPINAN MAGELANG,28 Desember 2017,"Khusus, Awal Menjabat",3070188216
486,486,IDE WINARSWASEPTA ENDARMOYO,PEMERINTAH KOTA YOGYAKARTA,INSPEKTORAT DAERAH,AUDITOR PERTAMA,31 Desember 2017,Periodik,4912431795
487,487,ILHAM WICAKSONO,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,PEMERIKSA PAJAK PELAKSANA - KANTOR PELAYANAN PAJAK PRATAMA KARAWANG SELATAN,31 Desember 2017,Periodik,162120000
488,488,R. M. PRAMUTOMO,KEMENTERIAN RISET DAN TEKNOLOGI / BADAN RISET DAN INOVASI NASIONAL,INSTITUT SENI INDONESIA SURAKARTA,WAKIL REKTOR III,31 Maret 2018,"Khusus, Awal Menjabat",1113820388
489,489,SUDARINTO,MAHKAMAH AGUNG,PENGADILAN TINGGI AGAMA YOGYAKARTA,SEKRETARIS,31 Desember 2017,Periodik,452000000
490,490,AGUS PURWANTO,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,DIREKTORAT JENDERAL PENDIDIKAN DASAR DAN MENENGAH,PANITIA PENGADAAN BARANG DAN JASA,31 Desember 2017,Periodik,467000000
491,491,IDA KUSWATI,PEMERINTAH KABUPATEN BANTUL,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU,BENDAHARA PENGELUARAN,31 Desember 2017,Periodik,190500000
492,492,SUPRIHATIN,PEMERINTAH DAERAH D.I. YOGYAKARTA,DINAS SOSIAL,KEPALA SEKSI PERLINDUNGAN DAN REHABILITASI SOSIAL,31 Desember 2017,Periodik,-49092346
493,493,CHRESTINA ERNI WIDYASTUTI,PEMERINTAH DAERAH D.I. YOGYAKARTA,ASISTEN KEISTIMEWAAN,KEPALA BAGIAN,31 Desember 2017,Periodik,350047761
494,494,ARI MURSUKAPTI,PEMERINTAH KABUPATEN BANTUL,"DINAS KOPERASI, USAHA KECIL MENENGAH DAN PERINDUSTRIAN",KEPALA SUB BAGIAN PROGRAM,31 Desember 2017,Periodik,1291244679
